Timestamp,Latency_ms,Blockchain_Status
1776492481.7638576,1.3568401336669922,ON_TRANSACTION
1776492481.7664053,2.547740936279297,ON_TRANSACTION
1776492481.7664945,0.08916854858398438,ON_TRANSACTION
1776492481.7670858,0.591278076171875,ON_TRANSACTION
1776492481.7671754,0.0896453857421875,ON_TRANSACTION
1776492481.8048694,37.69397735595703,ON_TRANSACTION
1776492481.8049767,0.10728836059570312,ON_TRANSACTION
1776492481.8050632,0.08654594421386719,ON_TRANSACTION
1776492481.807095,2.0318031311035156,ON_TRANSACTION
1776492481.8071847,0.0896453857421875,ON_TRANSACTION
1776492481.8072715,0.08678436279296875,ON_TRANSACTION
1776492481.8073528,0.08130073547363281,ON_TRANSACTION
1776492481.8099172,2.5644302368164062,ON_TRANSACTION
1776492481.8100102,0.09298324584960938,ON_TRANSACTION
1776492481.8122287,2.218484878540039,ON_TRANSACTION
1776492481.812348,0.11920928955078125,ON_TRANSACTION
1776492481.8124428,0.09489059448242188,ON_TRANSACTION
1776492481.8125427,0.09989738464355469,ON_TRANSACTION
1776492481.8145134,1.9707679748535156,ON_TRANSACTION
1776492481.8146055,0.09202957153320312,ON_TRANSACTION
1776492481.8147023,0.09679794311523438,ON_TRANSACTION
1776492481.8169646,2.2623538970947266,ON_TRANSACTION
1776492481.817059,0.09441375732421875,ON_TRANSACTION
1776492481.8171432,0.08416175842285156,ON_TRANSACTION
1776492481.817223,0.07987022399902344,ON_TRANSACTION
1776492481.8549337,37.71066665649414,ON_TRANSACTION
1776492481.855126,0.19216537475585938,ON_TRANSACTION
1776492481.8552282,0.10228157043457031,ON_TRANSACTION
1776492481.8566127,1.3844966888427734,ON_TRANSACTION
1776492481.856734,0.12135505676269531,ON_TRANSACTION
1776492481.8570375,0.30350685119628906,ON_TRANSACTION
1776492481.8602042,3.166675567626953,ON_TRANSACTION
1776492481.860302,0.09775161743164062,ON_TRANSACTION
1776492481.8603914,0.08940696716308594,ON_TRANSACTION
1776492481.8604748,0.08344650268554688,ON_TRANSACTION
1776492481.8605936,0.11873245239257812,ON_TRANSACTION
1776492481.862264,1.6703605651855469,ON_TRANSACTION
1776492481.8623812,0.11730194091796875,ON_TRANSACTION
1776492481.8624768,0.09560585021972656,ON_TRANSACTION
1776492481.8639889,1.5120506286621094,ON_TRANSACTION
1776492481.8640978,0.10895729064941406,ON_TRANSACTION
1776492481.866906,2.808094024658203,ON_TRANSACTION
1776492481.8669994,0.0934600830078125,ON_TRANSACTION
1776492481.867085,0.08559226989746094,ON_TRANSACTION
1776492481.867168,0.08296966552734375,ON_TRANSACTION
1776492481.9048257,37.657737731933594,ON_TRANSACTION
1776492481.904997,0.17142295837402344,ON_TRANSACTION
1776492481.9050987,0.10156631469726562,ON_TRANSACTION
1776492481.9071023,2.0036697387695312,ON_TRANSACTION
1776492481.9072018,0.09942054748535156,ON_TRANSACTION
1776492481.907293,0.09131431579589844,ON_TRANSACTION
1776492481.9073813,0.08821487426757812,ON_TRANSACTION
1776492481.9098992,2.5179386138916016,ON_TRANSACTION
1776492481.9099987,0.09942054748535156,ON_TRANSACTION
1776492481.912204,2.205371856689453,ON_TRANSACTION
1776492481.9123428,0.13875961303710938,ON_TRANSACTION
